"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S14836964",2013,7,2,-95.3505173,50.9617615
"S16056974",2013,7,4,-96.923222,52.829958
"S16057684",2013,7,6,-97.222767,52.964297
"S16056656",2013,7,3,-96.774517,52.794811
"S16057313",2013,7,5,-97.087811,52.894789
"S16057782",2013,7,7,-97.227511,52.972056
"S16056250",2013,7,2,-96.775389,52.791961
"S16053748",2013,7,2,-96.692125,52.747281
"S16057934",2013,7,8,-97.2220516,52.982395
"S19348982",2014,6,30,-99.296644,52.7994265
"S19348983",2014,6,30,-99.2972573,52.889322
"S19348985",2014,6,30,-99.1486295,52.8896009
"S18919087",2014,6,25,-97.416163,51.725646
"S18919128",2014,6,25,-97.335706,51.578259
"S18879859",2014,6,22,-97.974618,51.306048
"S19349552",2014,7,1,-99.2405624,52.8236923
"S19349553",2014,7,1,-99.2409058,52.8207245
"S19349554",2014,7,1,-99.241272,52.8179703
"S19349555",2014,7,1,-99.2417297,52.8151856
"S19349556",2014,7,1,-99.2421188,52.812397
"S19349632",2014,7,7,-98.8318481,52.1730957
"S19349512",2014,7,1,-99.2458191,52.7825623
"S19349536",2014,7,1,-99.2446213,52.7907181
"S19349538",2014,7,1,-99.2455444,52.7853127
"S19349540",2014,7,2,-99.2499695,52.7581902
"S19349621",2014,7,7,-98.8529511,52.1823311
"S19349623",2014,7,7,-98.846344,52.1859283
"S19349547",2014,7,1,-99.2387543,52.8376808
"S19348988",2014,7,2,-99.296034,52.7095297
"S19348990",2014,7,2,-99.2972573,52.889322
"S19349009",2014,7,7,-98.83796,52.1858708
"S19348986",2014,7,1,-99.296034,52.7095297
"S19348987",2014,7,1,-99.296644,52.7994265
"S19088976",2014,7,12,-97.6016808,51.4786033
"S19477669",2014,7,3,-99.1292725,52.9036942
"S19477732",2014,7,2,-99.1381683,52.9937935
"S19477816",2014,7,7,-98.7634354,51.8546181
"S19477670",2014,7,3,-99.1319733,52.9013786
"S19477817",2014,7,7,-98.7592468,51.8532066
"S19477818",2014,7,7,-98.7738113,51.8733559
"S19477674",2014,7,3,-99.4592514,52.9090424
"S19477675",2014,7,3,-99.1457062,52.9051209
"S19477660",2014,7,2,-99.1429367,52.9893036
"S19477661",2014,7,2,-99.1474533,52.989933
"S19477405",2014,7,2,-99.2978739,52.9792161
"S19477662",2014,7,3,-99.4490585,52.9089623
"S19477663",2014,7,3,-99.4494934,52.9117317
"S19477664",2014,7,3,-99.4534302,52.9098816
"S19477812",2014,7,7,-98.8115006,51.8976173
"S19477665",2014,7,3,-99.4571304,52.9115143
"S19477666",2014,7,3,-99.1335831,52.8974762
"S19477730",2014,7,2,-99.1473312,52.9931603
"S19477782",2014,7,7,-98.7981491,51.8934517
"S19477813",2014,7,7,-98.8050003,51.8954048
"S19477667",2014,7,3,-99.1388397,52.9041138
"S19477668",2014,7,3,-99.131546,52.9078598
"S19477731",2014,7,2,-99.1427612,52.9934731
"S19477815",2014,7,7,-98.7575836,51.8359566
"S19073200",2014,7,7,-98.84,52.18347
"S7453845",2001,6,22,-95.561142,49.5104977
"S7454320",2001,6,22,-95.561142,49.5104977
"S4161832",2001,6,22,-96.2458992,50.052179
"S3442386",2002,7,1,-96.0565796,50.2522011
"S7453874",2003,6,24,-95.561142,49.5104977
"S7764209",2004,6,27,-96.4836502,50.6651314
"S9680751",2005,6,25,-96.4836502,50.6651314
"S7454332",2005,7,5,-95.561142,49.5104977
"S7453907",2005,7,5,-95.561142,49.5104977
"S7454008",2008,6,15,-95.561142,49.5104977
"S4481445",2008,6,29,-95.82204,49.92085
"S4078113",2008,6,22,-95.33137,49.38086
"S4078114",2008,6,22,-95.33137,49.38086
"S4078115",2008,6,22,-95.33137,49.38086
"S4078116",2008,6,22,-95.33137,49.38086
"S4078118",2008,6,22,-95.33137,49.38086
"S4078121",2008,6,22,-95.33137,49.38086
"S4078124",2008,6,22,-95.33137,49.38086
"S4078130",2008,6,22,-95.33137,49.38086
"S4078109",2008,6,22,-95.33137,49.38086
"S4078110",2008,6,22,-95.33137,49.38086
"S5250678",2009,7,9,-95.5192566,49.4538426
"S5250682",2009,7,9,-95.6231117,49.6132682
"S5250688",2009,7,9,-95.6126404,49.6240004
"S5584678",2009,7,1,-96.5299988,50.6024163
"S5528140",2009,8,8,-95.49587,50.03935
"S7762807",2010,6,20,-96.4836502,50.6651314
"S6960691",2010,7,4,-96.27553,49.43109
"S8785047",2010,7,9,-95.6155396,49.6062584
"S8785048",2010,7,9,-95.6028671,49.574398
"S8785062",2010,7,9,-95.6059113,49.5997925
"S7029048",2010,7,2,-96.09181,49.62721
"S7029050",2010,7,2,-96.09189,49.61307
"S7029051",2010,7,2,-96.09191,49.60618
"S7029053",2010,7,2,-96.08536,49.59305
"S7029057",2010,7,2,-96.06803,49.56818
"S7029061",2010,7,2,-96.03725,49.54904
"S7029064",2010,7,2,-96.04875,49.53672
"S7029078",2010,7,2,-96.18758,49.50946
"S7029079",2010,7,2,-96.19322,49.50365
"S7029044",2010,7,2,-96.09178,49.65562
"S7029084",2010,7,2,-96.22406,49.47452
"S7029045",2010,7,2,-96.09177,49.64836
"S7029046",2010,7,2,-96.09179,49.64162
"S7029047",2010,7,2,-96.0918,49.63417
"S8472657",2011,6,24,-96.3655364,49.6493961
"S8870468",2011,6,28,-95.9019922,49.5261931
"S8870476",2011,6,21,-96.0980079,49.5261931
"S8456154",2011,6,21,-95.8996582,49.6391772
"S8789163",2011,6,24,-95.6652543,50.2515624
"S8789171",2011,6,16,-96.215542,49.8889331
"S8789173",2011,6,16,-96.0819221,49.7956822
"S8789160",2011,6,24,-95.8053569,50.2482626
"S8789177",2011,6,16,-96.2207012,49.7990963
"S8498626",2011,7,2,-96.3655364,49.6493961
"S8785049",2011,7,5,-96.1627121,49.3998146
"S8785038",2011,7,5,-96.1262512,49.4146805
"S8785039",2011,7,5,-96.1940765,49.407177
"S8785040",2011,7,5,-96.1699448,49.3998032
"S8785041",2011,7,5,-96.126091,49.3492088
"S8785043",2011,7,5,-96.1941071,49.4321098
"S8789188",2011,7,3,-95.6453961,49.8921914
"S8789183",2011,7,5,-96.2461127,49.3498852
